Source,Target
27,1
58,3
71,4
12,6
15,8
54,11
20,12
20,14
14,16
60,18
11,25
19,27
15,29
70,30
24,31
99,33
39,34
56,43
14,47
86,51
66,52
86,59
59,61
54,63
17,64
52,68
75,70
17,72
13,73
98,83
11,86
27,94
16,96
20,97
87,98
12,99
11,100
83,108
32,122
86,135
40,150
25,151
34,166
28,170
49,176
32,206
28,226
36,445
19,479
52,488
16,505
29,519
33,540
69,672
45,695
11,697
16,733
25,744
14,796
17,823
89,899
11,901
37,1078
26,1104
43,1123
40,1200
15,1273
26,1300
67,1325
51,1411
89,1522
28,1578
18,1631
25,1671
35,1689
82,1743
56,1752
20,1926
26,2175
41,2214
52,2240
16,2251
11,2392
68,2400
12,2597
30,2599
40,2630
13,2676
48,2689
19,2747
52,2843
13,2886
17,2957
19,3044
13,3071
86,3113
12,3114
14,3193
14,3212
24,3241
26,3278
46,3295
19,3315
69,3362
41,3371
19,3376
21,3380
23,3397
11,3399
22,3464
53,3552
23,3559
58,3602
82,3624
22,3684
32,3700
58,3741
57,3749
61,3814
27,3825
29,3857
30,3861
52,3884
38,3903
49,3915
67,3988
20,4042
18,4127
26,4135
15,4145
12,4220
75,4259
12,4319
41,4392
74,4428
35,4471
47,4558
11,4570
45,4635
33,4709
29,4739
18,4895
12,5010
22,5016
14,5034
14,5037
11,5115
20,5333
56,5364
27,5399
20,5403
28,5455
25,5511
21,5608
20,5717
37,5720
58,5771
16,5798
17,5856
55,5894
16,6004
11,6019
18,6120
55,6153
64,6169
11,6175
18,6183
16,6244
30,6264
77,6273
22,6286
29,6350
29,6404
42,6468
41,6496
56,6511
26,6523
82,6549
48,6561
68,6606
27,6661
68,6707
24,6716
62,6781
27,6817
74,6878
14,6949
27,6972
44,6995
11,7038
20,7041
84,7095
82,7104
15,7110
17,7249
18,7250
14,7265
14,7278
17,7301
51,7320
18,7323
60,7402
15,7403
25,7410
28,7414
71,7457
16,7488
87,7495
54,7513
11,7516
29,7534
93,7540
34,7543
18,7780
42,7858
26,7862
49,7872
44,7891
13,7897
14,7930
70,8201
27,8257
15,8268
22,8272
54,8316
61,8351
57,8471
25,8494
46,8531
42,8624
21,8740
18,8773
16,8775
31,8776
11,8814
40,8817
13,8834
13,8838
13,8846
19,8884
23,8903
66,8926
35,8995
18,9102
26,9120
11,9162
18,9177
24,9305
13,9389
38,9442
57,9471
59,9475
13,9493
20,9503
52,9565
24,9595
68,9680
46,9697
15,9709
53,9718
17,9727
16,9731
68,9759
25,9806
13,9816
15,9855
56,9864
12,9867
24,9897
20,9938
17,9973
96,9992
19,9993
19,10003
32,10059
58,10106
95,10109
18,10116
13,10225
14,10227
20,10244
17,10267
15,10273
20,10319
13,10333
41,10379
17,10387
13,10465
21,10467
25,10481
18,10517
33,10582
20,10643
30,10682
24,10722
18,10745
17,10757
63,10784
71,10795
65,10857
57,10888
16,10915
13,10969
14,11061
53,11070
40,11096
44,11169
20,11304
19,11404
64,11639
19,11881
48,11907
15,12013
16,12033
28,12039
