Article_id,credibility_withAll,credibility_withoutInline,credibility_withoutUser_Count,credibility__withoutDatabyte,credibility_withoutInline_withMeanTime,credibility__withoutDatabyte_withMeanTime
6,626,626,625,1,30132.0,29507.0
8,1297,1297,1296,1,20668.0,19372.0
10,3140,3140,3136,4,15442.5,12306.5
12,32965946263547556,32965946262281932,32965946262671460,2141721,3.2965946262281936e+16,2141724.039524958
23,11019960577,11019960577,11019960576,1,11019988329.0,27753.0
25,17954249857319356,17954249857198946,17954249856586620,853145,1.7954249857198956e+16,853154.217281171
27,5308417,5308417,5308416,1,5324813.0,16397.0
28,3429742097,3429742097,3429742096,1,3429744830.0,2734.0
29,2342560001,2342560001,2342560000,1,2342582112.0,22112.0
33,10001,10001,10000,1,25226.0,15226.0
35,168823196162,168823196162,168823196161,1,168823200978.0,4817.0
36,21336152766,21336152765,21336152762,5,21336155296.5,2536.5
39,34639249483142,34639249473142,34639249456246,36896,34639249473253.25,37007.25
42,50627,50626,50626,2,64633.0,14009.0
43,110834940663010,110834940525369,110834940583486,217165,110834940525430.25,217226.25468165
46,213813760001,213813760001,213813760000,1,213813762962.0,2962.0
47,193877777,193877777,193877776,1,193894868.0,17092.0
49,12897917762,12897917762,12897917761,1,12897937296.0,19535.0
50,32167139908,32167139908,32167139904,4,32167148142.5,8238.5
51,4941277927762196,4941277927762180,4941277927762192,20,4941277927771176.0,9016.0
54,25856961618,25856961602,25856961617,17,25856988202.0,26617.0
54,25856973051,25856961602,25856973050,11450,25856988202.0,38050.0
242,1536953621,1536953617,1536953620,5,1536960471.0,6859.0
247,31220161,31220160,31220157,5,31229013.5,8858.5
248,2562890626,2562890626,2562890625,1,2562893633.0,3008.0
249,252047377,252047377,252047376,1,252074850.0,27474.0
253,130331,130322,130330,10,143863.0,13551.0
254,1500627,1500626,1500626,2,1532241.0,31617.0
255,1146228738,1146228737,1146228737,2,1146255652.0,26917.0
259,405,404,401,5,1647.0,1248.0
264,9117385,9117384,9117381,5,9118452.0,1073.0
268,108243217,108243217,108243216,1,108269795.0,26579.0
269,35153043,35153042,35153042,2,35154785.0,1745.0
270,2560001,2560001,2560000,1,2587131.0,27131.0
271,655360001,655360001,655360000,1,655376774.0,16774.0
271,655362602,655360001,655362601,2602,655376774.0,19375.0
272,236421377,236421377,236421376,1,236434546.0,13170.0
274,166726039043,166726039042,166726039042,2,166726055668.0,16628.0
278,187388747,187388722,187388746,26,187407109.0,18413.0
280,9150626,9150626,9150625,1,9173530.0,22905.0
290,33157576593203,33157576537034,33157576133519,515853,33157576537058.38,515877.37928465
291,1458057,1458057,1458056,1,1458344.5,288.5
293,626,626,625,1,21466.0,20841.0
296,82,82,81,1,13065.0,12984.0
301,108243217,108243217,108243216,1,108250070.0,6854.0
303,50306044965131200,50306044964808576,50306044964734304,719524,5.03060449648086e+16,719544.00795107
305,408576278248493,408576278171209,408576278084468,241309,408576278171241.0,241340.98729228
307,34807119456843484,34807119456418380,34807119454302648,2965940,3.4807119456418384e+16,2965945.871146953
308,3167016641949234,3167016641737634,3167016641050530,1110304,3167016641737646.5,1110316.51776844
309,50734335241,50734331760,50734333032,5690,50734332234.07353,6164.0735294
311,106016083745409,106016082833384,106016083745265,912169,106016082833751.8,912536.8023256
312,17482410936236,17482410443432,17482410936211,492829,17482410445267.188,494664.1875
313,17372042626802,17372042124121,17372042626793,502690,17372042126657.637,505226.636364
314,8706760755569,8706760321288,8706760755565,434285,8706760324036.4,437033.4
315,511320441465,511320337781,511320441461,103688,511320341532.8333,107439.833333
316,2526687246682,2526687217441,2526687246673,29250,2526687219688.778,31497.777778
317,71306645315,71306623114,71306645290,22226,71306625497.42857,24609.428571
319,567558291241,567558243717,567558291237,47528,567558245757.2307,49568.230769
320,44224744506,44224744106,44224744490,416,44224748351.8,4661.8
321,42110733683,42110733682,42110733682,2,42110737717.0,4037.0
322,6410,6409,6401,10,13986.666667000001,7587.666667
323,12054789,12054788,12054785,5,12059268.333333,4485.333333
324,545859701860319,545859701685595,545859701496710,538333,545859701685615.75,538353.75031686
325,1003876257,1003875857,1003876256,401,1003897521.0,22065.0
326,49098158,49098058,49098149,109,49102584.166667,4635.166667
328,19007435841,19007401616,19007435825,34241,19007406198.333332,38823.333333
330,719499738,719499414,719499482,580,719500596.074074,1762.074074
