Article_id,credibility__withoutDatabyte_withMeanTime
6,29507
8,19372
10,12306
12,2141724
23,27753
25,853154
27,16397
28,2734
29,22112
33,15226
35,4817
36,2536
39,37007
42,14009
43,217226
46,2962
47,17092
49,19535
50,8238
51,9016
54,26617
54,38050
242,6859
247,8858
248,3008
249,27474
253,13551
254,31617
255,26917
259,1248
264,1073
268,26579
269,1745
270,27131
271,16774
271,19375
272,13170
274,16628
278,18413
280,22905
290,515877
291,288
293,20841
296,12984
301,6854
303,719544
305,241340
307,2965945
308,1110316
309,6164
311,912536
312,494664
313,505226
314,437033
315,107439
316,31497
317,24609
319,49568
320,4661
321,4037
322,7587
323,4485
324,538353
325,22065
326,4635
328,38823
330,1762
332,12693
333,9459
334,11136
336,163563
337,156038
337,74838
339,885804
340,6059
344,10970
348,14670
349,19949
349,4836
351,8140
358,571689
358,313641
359,59552
368,14161
369,6276
568,175523
569,274839
570,295940
571,28201
572,13299
573,819944
574,8170
575,30274
576,916873
578,140698
579,105152
580,82555
584,3341
586,222641
587,470327
590,29326
591,12071
592,9558
593,298351
594,487116
595,1036762
596,31509
597,15660
599,24086
600,286266
606,6257
612,10860
615,5004
616,6226
617,1747
617,81820
617,28300
618,5467
618,25347
620,510087
621,104242
623,16044
623,34283
624,1516819
625,56346
627,505374
628,200875
629,3957
630,14733
632,26633
633,139422
634,10567
639,136066
640,14854
642,4745
643,2660
644,21566
645,2324
649,1968
650,6453
651,25901
652,3470
653,10358
654,4090
655,101671
655,124502
655,254671
656,129729
657,30450
658,10439
659,10538
661,9272
662,342832
663,136744
664,190071
665,20676
666,41383
668,1932
669,20972
670,284904
673,14482
674,73429
675,2522
676,80754
677,38089
678,5766
679,84315
680,70673
681,10486
682,19399
683,7391
684,3633
684,3561
685,265678
689,3536385
690,158879
691,193642
696,5921
697,101197
697,21025
698,449519
699,91
700,295888
701,229904
703,44578
704,4874
705,3084
706,27102
707,1645
708,4676
709,3658
710,2477
711,28729
712,97222
713,78380
715,8926
715,200456446
717,483246
718,15629
719,116247
728,88970
728,14642
730,10018
734,45228
734,12228
735,3570
736,55473645
737,1457807
738,1121949
740,471066
741,1204327
742,2952
744,3032482
746,643495
748,42765
749,4075
751,158871
752,617478
753,155476
755,13097
759,12276
762,669
764,3629
765,1576077
766,1581
768,1722
769,112500
770,1187496
771,4543832
772,19792
772,16963
773,103786
775,193039
776,3494
777,4676
779,19122
779,3561
780,26297
782,10485
783,1995609
783,1580458
784,13726
784,6906
785,32153
786,23442
787,4603
788,3661
789,4692
791,322853
794,2037
795,2447
798,40494
799,75417
800,1657001
801,2185
802,230053
803,46738525
804,21787
806,398149
808,558049
809,91906
813,18014
814,5578
815,34222
816,32541
818,32082
819,12593
820,13663
821,7832
822,274852
824,49631
825,10583
826,24229
827,21762
828,5499
832,32667
835,16301
839,6422
840,43434
841,23131092
842,33399
842,23456
843,194744
844,593683
846,3705
846,7033
848,164762
849,166837
850,186105
851,80105
852,578882
853,16559
854,76262
855,2863
856,2700540
857,157042
858,32432
859,2334
860,3946
862,181391
863,1778536
863,1321576
864,997272
865,39810
866,33420
868,9169
869,8651
870,14086
872,127262
872,55091
873,5812
874,1105683
875,1727
876,37410
877,12759
878,38622
880,732310
881,2912
882,1730
883,1985
884,4503
885,1879
886,242767
887,101766
888,55303
889,17634
890,135258
891,16519
892,3794
893,1971166
894,196483
895,134993
896,106485
897,146417
897,98021
898,57550
899,22307
899,30590
900,33979
901,25829
902,574001
902,436017
903,10248
904,656681
905,2360
906,74209
909,84628
910,2067
911,77749
912,15381
913,230308
913,187439
914,27837
915,10347
917,3240
918,3077
920,7517
921,25260
922,106973
923,20492
924,54044
925,1754
926,3066
927,231183
928,48598
929,11628
930,22306
931,79968
932,4738
933,15570
944,24912
948,2819
951,4885216
952,21540
953,2647
954,95606
954,272486
955,7820
956,2560106
957,30250
958,13709
959,3150
960,16737
963,26874
964,2565
965,2376
966,1948
967,1880
968,3839
969,8090
972,12874
974,72105
975,3808
978,2596
980,14163
981,92256
982,3053
983,203227
984,461084
985,3189
986,8602
988,3803
989,245959
991,24211
992,25694
993,14741
993,427285
994,1997
999,86977
1000,103325
1000,48677
1002,260299
1003,6112
1004,99204
1005,64374
1006,173465
1007,626077
1008,453624
1009,469210
1010,647262
1011,552543
1012,619571
1013,458407
1014,455811
1016,10599
1017,587755
1018,2612
1019,615354
1020,40989
1021,3313
1022,149359
1023,329698
1027,480644
1028,34796
1029,103034
1030,95563
1032,10320
1033,23269
1034,36233
1035,2312
1036,10089
1038,82809
1043,1742
1044,7949
1046,5654
1047,29768
1049,6326
1050,79162
1050,50458
1051,17958
1051,7573
1052,117420
1053,5114
1055,17955
1057,13610
1057,71210
1058,31160
1059,2072
1063,2146
1064,67358
1070,124
1071,3453
1077,1935
1078,1603497
1087,8240
1099,29986
1100,10471
1101,22257
1109,2914
1110,2464
1111,4229
1112,2704
1113,1751
1114,2108
1117,38402
1120,25599
1121,22637
1122,25306
1125,6034
1126,14347
1127,5125
1129,402289
1130,558837
1132,132231
1133,88323
1134,18905
1135,15919
1136,3049
1140,17859
1141,9526
1142,8763
1143,53978
1144,3132
1146,33490
1147,2834
1148,330849
1152,4701
1152,3622
1153,18372
1153,52219
1154,449047
1155,5442
1158,10143
1159,78593
1160,10524
1162,142062
1164,954625
1166,6997
1167,41581
1168,66601
1169,3495
1170,116567
1171,50620
1173,15915
1174,292611
1175,694753
1175,183265
1175,223928
1176,1885
1177,348648
1178,188885
1181,12134
1182,278386
1183,5954
1183,6482
1184,12034
1187,32596
1189,4090
1190,5856
1191,3914
1192,1751
1193,3645
1194,2038
1196,52219
1197,5405
1198,29296
1199,4392
1200,9299
1201,59018
1202,5275
1203,431409
1204,4907
1205,31523
1206,32077
1207,179484
1208,345059
1209,50968
1210,36705
1212,96750
1213,7130
