Article_id,credibility__withoutDatabyte
6,1
8,1
10,4
12,2141721
23,1
25,853145
27,1
28,1
29,1
33,1
35,1
36,5
39,36896
42,2
43,217165
46,1
47,1
49,1
50,4
51,20
54,17
54,11450
242,5
247,5
248,1
249,1
253,10
254,2
255,2
259,5
264,5
268,1
269,2
270,1
271,1
271,2602
272,1
274,2
278,26
280,1
290,515853
291,1
293,1
296,1
301,1
303,719524
305,241309
307,2965940
308,1110304
309,5690
311,912169
312,492829
313,502690
314,434285
315,103688
316,29250
317,22226
319,47528
320,416
321,2
322,10
323,5
324,538333
325,401
326,109
328,34241
330,580
332,11965
333,5
334,10756
336,163505
337,155970
337,74770
339,885793
340,5525
344,10589
348,17
349,19618
349,4505
351,5
358,571664
358,313616
359,59410
368,13633
369,5570
568,175481
569,274805
570,295909
571,901
572,13005
573,819922
574,7930
575,170
576,916857
578,140642
579,105093
580,82420
584,2989
586,222601
587,470308
590,29189
591,10
592,104
593,298325
594,487089
595,1036738
596,65
597,15341
599,23965
600,286229
606,10
612,10625
615,4682
616,10
617,212
617,80285
617,26765
618,5
618,19885
620,510065
621,104180
623,14261
623,32500
624,1516805
625,56173
627,505349
628,200821
629,260
630,14489
632,26297
633,139392
634,10370
639,135994
640,14612
642,4346
643,2045
644,2
645,450
649,1154
650,601
651,25736
652,1125
653,10180
654,85
655,101626
655,124457
655,254626
656,129685
657,30340
658,10225
659,10309
661,9050
662,342810
663,136685
664,190034
665,20533
666,41281
668,617
669,1
670,284869
673,14314
674,73349
675,2129
676,80660
677,37921
678,5345
679,83929
680,70600
681,10244
682,19242
683,7012
684,130
684,58
685,265513
689,3536370
690,158833
691,193609
696,5365
697,101105
697,20933
698,449480
699,53
700,295850
701,229869
703,44225
704,4210
705,2421
706,26813
707,949
708,4210
709,2969
710,1450
711,28480
712,97138
713,78277
715,1453
715,200448973
717,483220
718,15460
719,116194
728,88829
728,14501
730,9133
734,45041
734,12041
735,10
736,55473641
737,1457800
738,1121938
740,471050
741,1204313
742,65
744,3032474
746,643481
748,42650
749,1522
751,158849
752,617461
753,155426
755,10
759,1
762,1
764,3076
765,1576072
766,586
768,578
769,112433
770,1187485
771,4543821
772,19666
772,16837
773,103725
775,193009
776,90
777,4201
779,15661
779,100
780,26129
782,10205
783,1995601
783,1580450
784,13480
784,6660
785,32058
786,23050
787,4122
788,2965
789,4234
791,322825
794,424
795,1768
798,40357
799,75289
800,1656992
801,1476
802,230009
803,46738504
804,842
806,398116
808,558025
809,91844
813,325
814,788
815,7226
816,362
818,530
819,325
820,1
821,148
822,272565
824,49508
825,10249
826,2
827,1
828,8
832,10
835,10
839,17
840,43346
841,23131060
842,33280
842,23337
843,194701
844,593666
846,72
846,3400
848,164709
849,166792
850,186068
851,80026
852,578869
853,16393
854,76185
855,2385
856,2700532
857,156890
858,5
859,1921
860,109
862,181337
863,1778530
863,1321570
864,997258
865,39625
866,33289
868,8857
869,8329
870,13834
872,127189
872,55018
873,290
874,1105669
875,656
876,37305
877,12557
878,38450
880,732292
881,2125
882,1013
883,369
884,4058
885,392
886,242720
887,101701
888,55145
889,17154
890,135197
891,5
892,2725
893,1971161
894,196450
895,133261
896,106434
897,146369
897,97973
898,57460
899,22082
899,30365
900,33832
901,25677
902,573984
902,436000
903,9941
904,656665
905,1184
906,73970
909,84541
910,233
911,77645
912,65
913,230269
913,187400
914,27701
915,10084
917,520
918,82
920,7330
921,25092
922,106922
923,5
924,53917
925,772
926,5
927,231145
928,48505
929,11434
930,22122
931,79837
932,4005
933,15418
944,101
948,746
951,4885162
952,21325
953,1985
954,95537
954,272417
955,7325
956,2559985
957,29956
958,13450
959,225
960,16505
963,26650
964,100
965,1730
966,269
967,481
968,104
969,7817
972,12653
974,72026
975,1157
978,1845
980,13885
981,92196
982,405
983,203177
984,461045
985,41
986,8353
988,3133
989,245920
991,24089
992,25540
993,14506
993,427050
994,1250
999,86921
1000,103258
1000,48610
1002,260154
1003,5202
1004,99125
1005,64264
1006,173416
1007,626036
1008,453577
1009,469160
1010,647225
1011,552500
1012,619525
1013,458354
1014,455786
1016,10376
1017,587716
1018,2210
1019,615305
1020,40906
1021,2741
1022,149305
1023,329690
1027,480596
1028,34669
1029,102952
1030,95465
1032,10034
1033,22985
1034,36125
1035,485
1036,9764
1038,82724
1043,400
1044,7605
1046,4666
1047,29648
1049,5924
1050,79076
1050,50372
1051,17797
1051,7412
1052,117338
1053,265
1055,17744
1057,13385
1057,70985
1058,31001
1059,445
1063,1657
1064,67266
1070,20
1071,2770
1077,452
1078,1603489
1087,37
1099,82
1100,65
1101,4490
1109,2285
1110,985
1111,3433
1112,1640
1113,625
1114,317
1117,38242
1120,10
1121,5
1122,197
1125,485
1126,17
1127,1945
1129,402233
1130,558805
1132,132196
1133,88250
1134,18709
1135,15716
1136,136
1140,17704
1141,9153
1142,8381
1143,53792
1144,2837
1146,33344
1147,2521
1148,330824
1152,4240
1152,3161
1153,10
1153,33857
1154,448993
1155,4925
1158,9925
1159,78481
1160,10069
1162,141985
1164,954605
1166,6514
1167,41284
1168,66501
1169,3016
1170,116516
1171,50516
1173,15689
1174,292580
1175,694714
1175,183226
1175,223889
1176,1325
1177,348624
1178,188836
1181,11821
1182,278356
1183,5696
1183,6224
1184,17
1187,32497
1189,3700
1190,5545
1191,97
1192,724
1193,3050
1194,968
1196,52133
1197,5013
1198,29153
1199,205
1200,8885
1201,58937
1202,4973
1203,431370
1204,4570
1205,2
1206,31925
1207,179441
1208,345029
1209,50881
1210,36569
1212,96682
1213,6725
1214,498866
1215,625
1216,970400
1217,54290
1225,10
1227,7225
1234,629
1235,35005
1237,69149
1239,261664
1240,78665
1241,112418
1242,88705
1245,229
1246,1780
1246,506817
1247,18890
1252,136634
1254,660314
1255,5
1256,36193
1257,13778
1259,395937
1260,39700
1261,440117
1262,4361
1264,9010
1265,145
1267,12137
1268,29
1270,3242
1271,12013
1273,729800
1274,9722
1275,2690
1276,1000
1277,8180
1278,394
1279,3025
1280,157
1282,130
1285,6065
1286,219860
1288,141025
1289,9377
1289,6530
1291,70992
1292,6322
1293,970
1295,233
1298,21268
1300,40405
1301,2720
1302,22178
1303,1684
1304,1700
1305,1480
1305,1325
1306,48772
1307,52352
1309,802
1311,1922
1312,1796
1313,16538
1314,2
1315,60570
1316,2645
1317,163018
1318,585
1320,17
1322,3277
1324,7978
1325,4745
1327,37537
1327,10786
1328,13
1328,10413
1330,1300
1331,4516
1332,406250
1333,553792
1334,539762
1335,5657
1336,25549
1337,1
1338,20961
1344,8298
1346,22805
1347,190930
1348,615077
1349,9981
1350,58
1352,325
1353,36992
1353,27332
1354,159080
1355,845
1356,1882
1356,5402
1357,3380
1358,18688
1359,1325
1360,1424
1361,165640
1362,1130
1363,26098
1364,61928
1365,327305
1366,41234
1367,47954
1368,78754
1369,13505
1370,63760
1371,2249
1372,129970
1373,2689
1374,2890
1375,72761
1376,86036
1377,7300
1379,12365
1380,16829
1381,38945
1382,1205
1383,14989
1384,12905
1386,19130
1387,30553
1388,45385
1389,10809
1391,296
1392,3524
1393,5220
1394,11252
1394,7412
1395,114346
1395,511677
1397,5203109
1398,317648
1399,32
1400,227813
1404,4961
1406,1040
1408,22212
1409,1954
1412,41165
1415,101
1416,448501
1417,465370
1418,68405
1419,9860
1420,173
1422,25805
1423,108676
1425,197770
1428,43537
1432,2234
1433,11709
1433,6340
1434,130
1435,3293
1435,1850
1436,348025
1437,9457
1438,8177
1439,754
1440,11513
1441,2025
1442,745480
1444,3208
1445,180713
1446,33296
1447,37033
1448,544505
1449,32708
1451,51530
1453,35770
1453,14197
1456,16928
1458,22432
1460,19025
1461,452945
1462,970
1465,34
1466,16601
1478,7076
1478,2756
1482,2237
