Article_id,credibility_withoutInline_withMeanTime
6,30132
8,20668
10,15442
12,32965946262281936
23,11019988329
25,17954249857198956
27,5324813
28,3429744830
29,2342582112
33,25226
35,168823200978
36,21336155296
39,34639249473253
42,64633
43,110834940525430
46,213813762962
47,193894868
49,12897937296
50,32167148142
51,4941277927771176
54,25856988202
54,25856988202
242,1536960471
247,31229013
248,2562893633
249,252074850
253,143863
254,1532241
255,1146255652
259,1647
264,9118452
268,108269795
269,35154785
270,2587131
271,655376774
271,655376774
272,236434546
274,166726055668
278,187407109
280,9173530
290,33157576537058
291,1458344
293,21466
296,13065
301,108250070
303,50306044964808600
305,408576278171241
307,34807119456418384
308,3167016641737646
309,50734332234
311,106016082833751
312,17482410445267
313,17372042126657
314,8706760324036
315,511320341532
316,2526687219688
317,71306625497
319,567558245757
320,44224748351
321,42110737717
322,13986
323,12059268
324,545859701685615
325,1003897521
326,49102584
328,19007406198
330,719500596
332,358993959847
333,14785791
334,550499717612
336,125255745232957
337,64545190778241
337,64545190778241
339,9189418862263764
340,9827663500
344,193098310140
348,559840665279
349,6738586092193
349,6738586092193
351,1275997977
358,4016847889898631
358,4016847889898631
359,6856422200692823
368,46848781878306
369,3404274203795
568,1030339075894064
569,2635105727022999
570,1335878320368202
571,27710290597
572,746005460090
573,5326168580160699
574,124514618938095
575,9180730
576,3344350114638032
578,56189692200270
579,1530003987542
580,842853441864
584,127368317197
586,677037733190891
587,549781089326172
590,156344339155112
591,57301823
592,1316610683
593,97017297584013
594,1309034013212805
595,17194591989529852
596,12991445
597,351263065385
599,8515566118607
600,12043565200850
606,12809
612,730532957939
615,188537247050
616,7125
617,5285438
617,5285438
617,5285438
618,8602
618,8602
620,815375174424551
621,6149346382001
623,22998759182
623,22998759182
624,100336200031553680
625,4082680511922
627,483431234734378
628,108938393083665
629,588454265
630,6668443792
632,5338202311457
633,563543354339388
634,2511379437521
639,1119107407393534
640,885808997372278
642,20419814297
643,302238632241
644,301406
645,1698586197
649,8222794085
650,138730629060
651,6591251446554
652,1868100443
653,194450718160651
654,1125232
655,33473565115400
655,33473565115400
655,33473565115400
656,56128795997405
657,18408083915876
658,980796817440
659,240905848487
661,998219676275
662,581686652604715
663,2737295818492108
664,42643778828938
665,4344332922382
666,5182427107266
668,6222726574
669,21053
670,168865628077240544
673,83940212674
674,820674748866136
675,33489931076
676,38650170356140
677,46517822069199
678,392526336635
679,89044161668
680,2057482572597
681,252997321880
682,8599831669002
683,8233544358
684,20592458
684,20592458
685,22432628577979
689,4616118499540246
690,65096531495375
691,144457589839148
696,14244932361
697,145599609472235
697,145599609472235
698,98993162790839
699,680270766
700,1288041486677256
701,3345331108663326
703,18631641280360
704,648439467875
705,727323772104
706,10633483160102
707,583599247
708,75281770937
709,5755878231
710,19170838775
711,6225525265543
712,41147374775882
713,59159650477208
715,41799809982
715,41799809982
717,1553781353400761
718,219820126835
719,422855381632368
728,63529836684
728,63529836684
730,345459904553
734,189445839150
734,189445839150
735,4245
736,1024237549346995968
737,5493156174658419
738,822068907893435
740,115687498345136
741,1378396323050746
742,3662189144
744,19443304797161140
746,528907062306176
748,214941345724217
749,2019965690
751,665552199815045
752,1264113079290546
753,16381447319317
755,5777889
759,2342572276
762,84935325
764,35874055418
765,59153067176766024
766,15769160329
768,109062741
769,33863518073191
770,7111010085463099
771,95327302893672784
772,492284766489
772,492284766489
773,7139673636201216
775,1309782377662676
776,13332554524
777,52096307725
779,362190916
779,362190916
780,398448147023
782,382794997708
783,14741660584150024
783,14741660584150024
784,6731335983224
784,6731335983224
785,15485549069034
786,84522714831
787,19803051329
788,833741401
789,29508724260
791,684715559854157
794,56385353873
795,70916224724
798,1134506463855
799,4946579004192
800,1173933947095212
801,1072635703
802,436586147285835
803,272987200590801216
804,395275107
806,2997206699348820
808,4609167498801395
809,5676566267887
813,230639119691
814,2495207098
815,238730964198
816,1908061941
818,855067634
819,479797485
820,112564544
821,2562290849
822,25600852684025616
824,348822569615112
825,1327778997497
826,12149354404
827,145865963538
828,4581175180919
832,423283
835,157368228
839,6565
840,142310894930877
841,154104236663429952
842,593542888355
842,593542888355
843,108510894003422
844,521990905039852
846,14084925
846,14084925
848,508615094317062
849,103576979941384
850,110443467862989
851,5181594499359
852,3204725214938713
853,6706031356015
854,122509060657137
855,680904291
856,11828664482344922
857,166063613532865
858,97964
859,37527217819
