Node,credibility-WithoutUsercount,credibility-whioutDatabyte,credibility-withoutline,credibility-whioutDatabyte_withMeanData,credibility-withoutline_withMeanData,HITS
6,1.42E-07,5.69E-09,6.09E-09,0.002993135,2.87E-13,0.000161918
8,0.087287766,0.003491319,0.003736295,0.000147197,1.44E-09,0.000178818
10,0.00011086,4.43E-06,4.75E-06,0.003990847,3.82E-13,1.98E-05
12,4.41E-07,1.76E-08,1.89E-08,9.66E-05,9.87E-10,0.003879418
23,0.013474464,0.000538949,0.000576765,0.004988559,4.78E-13,0.01063739
25,0.025636073,0.001025387,0.001097335,6.14E-05,7.38E-10,0.001054185
27,0.002694719,0.000107783,0.000115346,0.005986271,5.73E-13,0.001128997
28,0.004436926,0.000177467,0.00018992,0.010684116,0.01574649,0.000110956
29,0.049897809,0.001995803,0.002135842,0.011473686,1.10E-12,0.008930447
33,0.021018583,0.000840697,0.000899686,0.000138447,0.00052638,0.01122633
35,0.026035632,0.001041368,0.001114438,0.012471397,1.19E-12,0.000919115
36,0.000649288,2.60E-05,2.78E-05,0.004256009,0.008576014,0.00072125
39,0.178331455,0.007132867,0.007633359,0.013469109,1.29E-12,0.003714023
42,0,0,0,8.18E-05,2.54E-07,1.30E-07
43,0.004160674,0.000166418,0.000178095,0.013967965,1.34E-12,0.010477639
46,0.004489945,0.000179588,0.000192189,1.36E-05,0.000163825,4.13E-05
47,0.016223735,0.000648914,0.000694446,0.014466821,1.39E-12,0.000368454
49,6.34E-06,2.54E-07,2.71E-07,0.000110307,0.000111896,0.000578191
50,0.001389878,5.56E-05,5.95E-05,0.016462245,1.58E-12,2.66E-05
51,2.00E-10,8.00E-12,8.56E-12,7.60E-05,1.20E-09,0.000393644
54,0.283881236,0.011354627,0.012151347,0.017459956,1.67E-12,0.000127596
242,0.010356,0.000414217,0.000443282,2.40E-05,0.008063997,9.34E-07
247,0.145466858,0.005818355,0.006226612,0.017958812,1.72E-12,0.000132097
248,2.20E-09,8.80E-11,9.42E-11,1.27E-05,0.001019141,1.68E-06
249,0.107846226,0.004313613,0.004616286,0.01945538,1.86E-12,3.81E-06
253,0.005462051,0.00021847,0.000233799,0.000184612,1.65E-05,0.002764855
254,0.007325999,0.000293024,0.000313585,0.020951948,2.01E-12,0.001319884
255,0.144755577,0.005789906,0.006196166,6.99E-05,3.09E-09,0.001244034
259,0.217776684,0.00871059,0.009321786,0.021450803,2.05E-12,6.54E-05
264,0.292185022,0.01168676,0.012506785,0.001083645,5.29E-05,4.90E-06
268,0.410059877,0.016401496,0.01755234,0.022947371,2.20E-12,9.09E-05
269,0.254768783,0.010190193,0.010905208,1.48E-05,0.010213013,2.93E-05
270,0.000181669,7.27E-06,7.78E-06,0.023446227,2.25E-12,7.36E-06
271,0.044396892,0.001775778,0.001900379,8.53E-05,9.26E-06,2.46E-08
272,0.016906008,0.000676203,0.00072365,0.024443939,2.34E-12,5.50E-07
274,0.2687915,0.010751071,0.011505441,9.75E-05,0.000616082,5.27E-07
278,0.000374038,1.50E-05,1.60E-05,0.024942795,2.39E-12,8.67E-08
280,0.078753535,0.003149969,0.003370993,4.11E-05,0.001536494,9.49E-07
290,0.093622706,0.003744703,0.004007458,0.025441651,2.44E-12,3.22E-08
291,0.378118136,0.015123896,0.016185095,4.50E-05,0.002360247,3.01E-06
293,0.055681693,0.002227146,0.002383418,0.026938218,2.58E-12,2.46E-08
296,0.000001591,6.36E-08,6.81E-08,0.00013278,0.001235083,2.91E-06
301,0.086552652,0.003461916,0.003704829,0.026938218,2.58E-12,9.22E-05
303,0.038901361,0.001555969,0.001665147,0.000189815,0.001235083,2.46E-08
305,5.76E-05,2.30E-06,2.47E-06,0.120723126,1.16E-11,1.95E-05
307,0.00010006,4.00E-06,4.28E-06,3.42E-05,7.34E-05,2.46E-08
308,0.047227616,0.001889001,0.002021547,0.123217406,1.18E-11,9.49E-07
309,4.95E-06,1.98E-07,2.12E-07,4.42E-05,1.49E-06,2.46E-08
311,0.001228953,4.92E-05,5.26E-05,0.123716262,1.18E-11,2.46E-08
312,3.80E-05,1.52E-06,1.62E-06,1.50E-05,0.000122419,9.49E-07
313,0,0,0,0.124215118,1.19E-11,2.46E-08
314,0.048728492,0.001949033,0.002085791,0.000137056,1.20E-05,0.00626177
315,0.132321714,0.005292578,0.005663943,0.126210541,1.21E-11,0.00322713
316,0.023017882,0.000920665,0.000985265,6.76E-05,6.87E-09,0.002090077
317,0.202618278,0.008104287,0.00867294,0.126709397,1.21E-11,0.006577198
319,0.004938297,0.000197521,0.000211381,0.000157723,7.32E-08,0.000408846
320,0.027791599,0.001111603,0.001189601,0.127208253,1.22E-11,2.46E-08
321,0.000325291,1.30E-05,1.39E-05,0.000134277,5.48E-05,2.46E-08
322,0.036355203,0.001454128,0.00155616,0.129203677,1.24E-11,2.46E-08
323,0.000817598,3.27E-05,3.50E-05,0.622572156,7.87E-11,2.45E-10
324,0.012343535,0.000493714,0.000528357,0.131697956,1.26E-11,0.00595961
325,0.04537809,0.001815024,0.001942379,0.535272374,4.36E-07,0.002040892
326,0,0,0,0.13369338,1.28E-11,0.000128555
328,0.55260811,0.022103113,0.023654022,0.000132591,5.17E-06,0.00121089
330,0.059710741,0.002388299,0.002555879,0.134192235,1.28E-11,0.001055515
332,0.000414627,1.66E-05,1.77E-05,0.870503535,1.68E-06,0.001691919
333,0.00477924,0.000191159,0.000204572,0.134691091,1.29E-11,0.002988158
334,0.009957768,0.000398289,0.000426236,0.000135345,1.24E-07,0.000194206
336,0.000357244,1.43E-05,1.53E-05,0.135189947,1.29E-11,0.019505323
337,0.126054546,0.005041905,0.005395681,8.37E-05,3.13E-05,0.000365283
339,3.42E-06,1.37E-07,1.47E-07,0.135189947,1.29E-11,0.009019324
340,0.000684749,2.74E-05,2.93E-05,9.67E-05,3.13E-05,0.00109204
344,0.080488638,0.003219369,0.003445263,0.135688803,1.30E-11,0.000155619
348,0.035011941,0.001400401,0.001498663,6.57E-05,1.13E-05,0.000303526
349,4.75E-07,1.90E-08,2.03E-08,0.136686515,1.31E-11,2.44E-05
351,1.54E-07,6.15E-09,6.58E-09,8.29E-05,0.007963825,0.000579822
358,0.000160509,6.42E-06,6.87E-06,0.138681939,1.33E-11,1.25E-05
359,0.000132844,5.31E-06,5.69E-06,9.19E-05,8.95E-06,6.65E-06
368,0.246650997,0.009865499,0.010557732,0.13967965,1.34E-11,5.08E-06
369,0.059018842,0.002360624,0.002526262,0.000114263,4.38E-07,5.00E-06
568,0.05251192,0.002100362,0.002247738,0.144668209,1.39E-11,3.47E-06
569,0.001319059,5.28E-05,5.65E-05,0.002573483,1.58E-05,1.18E-05
570,0.113353287,0.004533883,0.004852012,0.145167065,1.39E-11,2.23E-06
571,0.665503487,0.02661868,0.028486434,0.143670497,6.97E-08,8.94E-06
