,User_id,Article_id
0,1,63
1,2,132
2,3,85
3,4,92
4,6,23
5,7,49
6,8,34
7,9,3
8,10,3
9,11,74
10,12,14
11,13,1
12,14,18
13,15,9
14,16,10
15,17,14
16,18,51
17,19,1
18,21,1
19,22,1
20,24,8
21,25,17
22,26,3
23,27,21
24,28,1
25,29,21
26,30,104
27,31,34
28,32,17
29,33,105
30,34,63
31,35,1
32,38,9
33,39,12
34,40,1
35,41,15
36,42,16
37,43,51
38,44,6
39,45,13
40,46,3
41,47,17
42,49,3
43,50,3
44,51,90
45,52,52
46,53,22
47,55,3
48,56,4
49,59,92
50,61,6
51,62,317
52,63,45
53,64,17
54,65,1
55,66,371
56,67,2
57,68,38
58,70,90
59,71,4
60,72,16
61,73,51
62,74,9
63,76,153
64,79,13
65,83,128
66,86,35
67,89,3
68,90,113
69,91,3
70,93,2
71,94,22
72,96,10
73,97,31
74,98,16
75,99,21
76,100,16
77,105,2
78,107,2
79,108,96
80,112,3
81,113,1
82,116,1
83,118,2
84,119,3
85,120,14
86,121,2
87,122,31
88,126,2
89,127,3
90,133,1
91,134,7
92,135,101
93,137,6
94,141,1
95,147,1
96,148,2
97,150,38
98,151,30
99,153,4
100,156,2
101,157,5
102,158,1
103,159,2
104,164,5
105,165,13
106,166,41
107,168,1
108,169,3
109,170,25
110,176,39
111,179,6
112,181,2
113,182,14
114,183,2
115,184,2
116,185,8
117,188,81
118,190,6
119,191,1
120,195,3
121,196,2
122,198,22
123,206,27
124,215,5
125,216,4
126,218,2
127,220,4
128,221,6
129,222,5
130,226,24
131,236,4
132,244,2
133,250,1
134,256,10
135,264,4
136,269,5
137,273,1
138,275,1
139,285,1
140,295,4
141,300,291
142,307,2
143,308,1
144,320,1
145,325,4
146,328,5
147,330,1
148,337,4
149,345,1
150,353,6
151,369,6
152,372,97
153,380,4
154,388,2
155,395,1
156,424,1
157,438,3
158,445,38
159,460,1
160,463,11
161,465,1
162,472,3
163,479,24
164,482,11
165,488,32
166,493,2
167,498,2
168,505,2
169,507,1
170,513,3
171,517,42
172,519,13
173,534,3
174,539,1
175,540,48
176,544,1
177,584,120
178,598,1
179,610,5
180,615,3
181,619,1
182,637,31
183,643,7
184,646,6
185,662,1
186,665,1
187,672,61
188,677,1
189,695,12
190,697,22
191,702,9
192,712,5
193,722,2
194,730,1
195,733,25
196,737,1
197,744,15
198,756,1
199,765,5
200,775,2
201,789,5
202,796,6
203,819,1
204,823,16
205,835,97
206,837,1
207,852,1
208,856,4
209,873,5
210,878,1
211,895,2
212,899,97
213,901,28
214,918,19
215,939,8
216,946,7
217,951,5
218,952,14
219,958,2
220,992,4
221,1007,2
222,1018,5
223,1052,3
224,1057,6
225,1073,1
226,1077,3
227,1078,27
228,1095,1
229,1104,39
230,1118,1
231,1123,64
232,1125,1
233,1132,3
234,1136,1
235,1167,2
236,1176,5
237,1181,2
238,1183,2
239,1190,1
240,1197,4
241,1200,28
242,1219,76
243,1222,12
244,1228,7
245,1239,2
246,1245,2
247,1246,4
248,1254,1
249,1256,3
250,1263,1
251,1265,1
252,1266,6
253,1273,13
254,1297,2
255,1300,28
256,1323,9
257,1325,57
258,1329,4
259,1348,1
260,1372,3
261,1398,7
262,1406,1
263,1411,44
264,1425,1
265,1465,1
266,1473,1
267,1490,1
268,1522,7
269,1535,1
270,1538,1
271,1557,2
272,1578,11
273,1591,236
274,1627,1
275,1631,16
276,1632,1
277,1671,18
278,1689,38
279,1703,1
280,1727,1
281,1743,93
282,1752,15
283,1762,1
284,1773,5
285,1833,1
286,1842,2
287,1849,1
288,1861,1
289,1887,5
290,1926,11
291,1942,1
292,1954,12
293,1961,2
294,2007,2
295,2009,7
296,2018,1
297,2021,10
298,2023,3
299,2028,6
300,2037,4
301,2066,1
302,2116,1
303,2123,2
304,2124,1
305,2138,4
306,2175,38
307,2178,7
308,2213,2
309,2214,50
310,2235,6
311,2240,35
312,2246,1
313,2251,19
314,2269,9
315,2278,1
316,2295,3
317,2309,3
318,2314,1
319,2329,3
320,2346,2
321,2376,133
322,2387,1
323,2392,13
324,2400,27
325,2424,3
326,2442,1
327,2453,1
328,2472,2
329,2496,10
330,2538,1
331,2580,1
332,2583,2
333,2597,10
334,2599,2
335,2606,1
336,2616,4
337,2630,21
338,2651,13
339,2660,1
340,2676,11
341,2689,7
342,2705,1
343,2708,2
344,2712,6
345,2725,1
346,2747,26
347,2760,1
348,2764,1
349,2775,3
350,2823,1
351,2843,18
352,2851,7
353,2858,1
354,2886,11
355,2894,3
356,2954,140
357,2957,17
358,2997,6
359,3035,1
360,3044,14
361,3047,2
362,3053,1
363,3065,1
364,3068,9
365,3071,15
366,3089,1
367,3097,2
368,3098,1
369,3105,2
370,3109,6
371,3110,2
372,3113,77
373,3114,16
374,3118,10
375,3123,3
376,3136,2
377,3168,6
378,3174,2
379,3182,1
380,3193,12
381,3201,2
382,3205,9
383,3212,13
384,3222,2
385,3241,24
386,3243,1
387,3253,1
388,3259,1
389,3278,22
390,3287,1
391,3295,40
392,3297,10
393,3298,3
394,3304,1
395,3315,21
396,3337,6
397,3338,1
398,3362,31
399,3371,11
400,3376,16
401,3378,78
402,3380,14
403,3391,2
404,3397,22
405,3399,17
406,3436,4
407,3445,1
408,3464,13
409,3499,6
410,3509,2
411,3520,1
412,3547,2
413,3552,18
414,3559,15
415,3563,1
416,3569,6
417,3573,1
418,3575,2
419,3577,4
420,3583,1
421,3602,33
422,3610,1
423,3620,1
424,3624,24
425,3628,125
426,3631,1
427,3635,4
428,3646,6
429,3666,1
430,3669,1
431,3671,26
432,3677,10
433,3684,12
434,3688,1
435,3691,7
436,3700,20
437,3730,1
438,3735,2
439,3741,11
