user_id,intial_credibility
1,63
2,132
3,85
4,92
6,23
7,49
8,34
9,3
10,3
11,74
12,14
13,1
14,18
15,9
16,10
17,14
18,51
19,1
21,1
22,1
24,8
25,17
26,3
27,21
28,1
29,21
30,104
31,34
32,17
33,105
34,63
35,1
38,9
39,12
40,1
41,15
42,16
43,51
44,6
45,13
46,3
47,17
49,3
50,3
51,90
52,52
53,22
55,3
56,4
59,92
61,6
62,317
63,45
64,17
65,1
66,371
67,2
68,38
70,90
71,4
72,16
73,51
74,9
76,153
79,13
83,128
86,35
89,3
90,113
91,3
93,2
94,22
96,10
97,31
98,16
99,21
100,16
105,2
107,2
108,96
112,3
113,1
116,1
118,2
119,3
120,14
121,2
122,31
126,2
127,3
133,1
134,7
135,101
137,6
141,1
147,1
148,2
150,38
151,30
153,4
156,2
157,5
158,1
159,2
164,5
165,13
166,41
168,1
169,3
170,25
176,39
179,6
181,2
182,14
183,2
184,2
185,8
188,81
190,6
191,1
195,3
196,2
198,22
206,27
215,5
216,4
218,2
220,4
221,6
222,5
226,24
236,4
244,2
250,1
256,10
264,4
269,5
273,1
275,1
285,1
295,4
300,291
307,2
308,1
320,1
325,4
328,5
330,1
337,4
345,1
353,6
369,6
372,97
380,4
388,2
395,1
424,1
438,3
445,38
460,1
463,11
465,1
472,3
479,24
482,11
488,32
493,2
498,2
505,2
507,1
513,3
517,42
519,13
534,3
539,1
540,48
544,1
584,120
598,1
610,5
615,3
619,1
637,31
643,7
646,6
662,1
665,1
672,61
677,1
695,12
697,22
702,9
712,5
722,2
730,1
733,25
737,1
744,15
756,1
765,5
775,2
789,5
796,6
819,1
823,16
835,97
837,1
852,1
856,4
873,5
878,1
895,2
899,97
901,28
918,19
939,8
946,7
951,5
952,14
958,2
992,4
1007,2
1018,5
1052,3
1057,6
1073,1
1077,3
1078,27
1095,1
1104,39
1118,1
1123,64
1125,1
1132,3
1136,1
1167,2
1176,5
1181,2
1183,2
1190,1
1197,4
1200,28
1219,76
1222,12
1228,7
1239,2
1245,2
1246,4
1254,1
1256,3
1263,1
1265,1
1266,6
1273,13
1297,2
1300,28
1323,9
1325,57
1329,4
1348,1
1372,3
1398,7
1406,1
1411,44
1425,1
1465,1
1473,1
1490,1
1522,7
1535,1
1538,1
1557,2
1578,11
1591,236
1627,1
1631,16
1632,1
1671,18
1689,38
1703,1
1727,1
1743,93
1752,15
1762,1
1773,5
1833,1
1842,2
1849,1
1861,1
1887,5
1926,11
1942,1
1954,12
1961,2
2007,2
2009,7
2018,1
2021,10
2023,3
2028,6
2037,4
2066,1
2116,1
2123,2
2124,1
2138,4
2175,38
2178,7
2213,2
2214,50
2235,6
2240,35
2246,1
2251,19
2269,9
2278,1
2295,3
2309,3
2314,1
2329,3
2346,2
2376,133
2387,1
2392,13
2400,27
2424,3
2442,1
2453,1
2472,2
2496,10
2538,1
2580,1
2583,2
2597,10
2599,2
