Article_id,credibility
6,0.5
8,0.5
10,1.0
12,1452.2
23,0.5
25,697.7
27,0.5
28,0.5
29,0.5
33,0.5
35,0.5
36,1.0
39,94.8
42,0.5
43,166.2
46,0.5
47,0.5
49,0.5
50,1.0
51,1.0
54,0.5
242,0.5
247,1.0
248,0.5
249,0.5
253,0.5
254,0.5
255,0.5
259,1.0
264,1.0
268,0.5
269,0.5
270,0.5
271,0.5
272,0.5
274,0.5
278,0.5
280,0.5
290,405.4
291,0.6
293,0.5
296,0.5
301,0.5
303,415.5
305,264.3
307,1195.6
308,640.9
309,25.6
311,13.4
312,3.6
313,2.3
314,1.8
315,1.4
316,2.1
317,2.7
319,2.1
320,2.1
321,0.5
322,1.5
323,1.1
324,399.0
325,0.5
326,1.8
328,2.2
330,9.1
332,15.2
333,0.5
334,34.8
336,135.9
337,154.3
339,538.7
340,26.1
344,31.6
348,0.5
349,36.6
351,0.5
358,351.3
359,67.1
368,19.1
369,13.7
568,203.9
569,248.7
570,283.3
571,0.5
572,37.3
573,391.6
574,33.8
575,0.5
576,523.9
578,173.9
579,182.1
580,83.0
584,25.9
586,231.0
587,444.4
590,86.9
591,0.5
592,1.0
593,320.1
594,317.4
595,334.1
596,0.5
597,28.4
599,76.0
600,288.3
606,0.5
612,49.4
615,34.2
616,1.6
617,7.5
618,1.0
620,408.7
621,171.2
623,5.7
624,606.8
625,56.1
627,357.3
628,198.0
629,1.0
630,53.2
632,35.2
633,213.3
634,49.7
639,122.8
640,43.8
642,32.5
643,15.1
644,0.5
645,7.7
649,13.9
650,2.5
651,71.4
652,3.4
653,49.3
654,3.5
655,192.4
656,200.1
657,87.1
658,44.1
659,52.9
661,46.2
662,359.6
663,137.1
664,228.2
665,77.4
666,105.9
668,10.0
669,0.5
670,278.7
673,65.4
674,132.4
675,23.8
676,97.7
677,61.4
678,26.5
679,29.2
680,144.8
681,48.5
682,72.3
683,33.9
684,3.6
685,56.5
689,532.5
690,219.8
691,242.1
696,21.1
697,92.2
698,270.0
699,1.0
700,208.8
701,268.1
703,34.9
704,17.0
705,16.8
706,28.2
707,11.7
708,17.6
709,20.7
710,10.5
711,48.0
712,121.1
713,105.9
715,1.5
717,311.2
718,63.7
719,159.3
728,67.1
730,12.3
734,58.9
735,1.5
736,1469.6
737,864.6
738,657.7
740,457.6
741,620.3
742,0.5
744,791.4000000000001
746,467.20000000000005
748,69.3
749,0.5
751,260.7
752,469.7
753,210.6
755,0.5
759,0.5
762,0.5
764,15.1
765,1031.5
766,9.2
768,11.8
769,153.3
770,691.0
771,625.9
772,77.3
773,108.6
775,243.9
776,1.5
777,27.1
779,3.3
780,70.2
782,45.7
783,890.2
784,44.3
785,95.1
786,28.4
787,22.1
788,19.8
789,25.0
791,269.2
794,9.0
795,19.8
798,75.3
799,78.3
800,760.7
801,16.3
802,183.1
803,390.3
804,0.5
806,294.9
808,365.1
809,168.0
813,0.5
814,1.0
815,0.5
816,0.5
818,0.5
819,0.5
820,0.5
821,1.0
822,4.9
824,77.6
825,39.7
826,0.5
827,0.5
828,1.0
832,0.5
835,0.5
839,2.0
840,92.6
841,281.9
842,84.9
843,245.7
844,440.3
846,3.2
848,182.5
849,202.2
850,222.3
851,146.9
852,508.9
853,56.7
854,129.4
855,25.9
856,967.4000000000001
857,61.7
858,0.5
859,15.7
860,1.6
862,157.1
863,962.1
864,586.2
865,54.8
866,80.5
868,36.0
869,40.1
870,34.1
872,137.3
873,0.5
874,527.5
875,10.9
876,87.0
877,53.7
878,62.4
880,424.6
881,16.0
882,13.4
883,7.9
884,26.0
885,7.4
886,213.9
887,140.1
888,61.0
889,24.6
890,172.7
891,0.5
892,9.7
893,1145.9
894,271.5
895,3.7
896,182.7
897,192.3
898,114.4
899,54.7
900,75.8
901,71.8
902,456.2
903,39.0
904,483.5
905,10.4
906,46.8
909,99.2
910,6.8
911,104.1
912,0.5
913,254.3
914,84.2
915,41.0
917,3.2
918,0.5
920,48.6
921,76.7
922,188.0
923,0.5
924,80.9
925,8.7
926,1.0
927,257.8
928,93.5
929,55.5
930,57.3
931,80.1
932,17.5
933,64.0
944,0.5
948,5.7
951,175.9
952,51.1
953,17.1
954,142.3
955,23.7
956,71.9
957,37.3
958,45.5
959,4.6
960,41.2
963,42.8
964,4.1
965,19.8
966,6.9
967,8.5
968,1.0
969,37.4
972,45.5
974,141.3
975,1.6
978,10.7
980,35.3
981,150.1
982,4.7
983,216.0
984,246.2
985,2.2
986,47.8
988,19.5
989,248.6
991,76.6
992,66.4
993,55.8
994,14.2
999,161.6
1000,135.6
1002,71.4
1003,11.8
1004,152.9
1005,113.6
1006,197.5
1007,230.3
1008,206.2
1009,198.1
1010,252.2
1011,230.5
1012,210.9
1013,190.7
1014,367.8
1016,42.3
1017,243.2
1018,22.8
1019,207.5
1020,96.6
1021,23.9
1022,183.9
1023,555.3
1027,213.2
1028,90.9
1029,138.2
1030,93.9
1032,45.3
1033,38.1
1034,89.6
1035,7.2
1036,33.2
1038,106.1
1043,8.6
1044,31.7
1046,11.6
1047,86.1
1049,35.8
1050,127.2
1051,49.5
1052,116.7
1053,1.5
1055,55.4
1057,57.1
1058,70.5
1059,9.1
1063,21.0
1064,113.0
1070,1.0
1071,17.8
1077,7.3
1078,786.4000000000001
1087,0.5
1099,0.5
1100,0.5
1101,0.5
1109,20.2
1110,8.4
1111,14.7
1112,11.7
1113,10.8
1114,7.3
1117,64.5
1120,0.5
1121,0.5
1122,0.5
1125,0.5
1126,0.5
1127,1.6
1129,174.2
1130,218.0
1132,198.2
1133,147.1
1134,57.8
1135,43.9
1136,5.1
1140,60.1
1141,37.5
1142,32.1
1143,66.9
1144,27.4
1146,86.0
1147,24.4
1148,280.8
1152,24.3
1153,0.5
1154,185.2
1155,27.5
1158,47.0
1159,75.2
1160,27.0
1162,131.9
1164,419.7
1166,24.7
1167,39.6
1168,82.7
1169,25.2
1170,181.9
1171,109.5
1173,51.0
1174,289.7
1175,253.1
1176,17.3
1177,319.0
1178,194.6
1181,34.7
1182,280.7
1183,28.6
1184,0.6
1187,103.2
1189,25.7
1190,37.7
1191,2.0
1192,9.9
1193,20.2
1194,11.6
1196,114.7
1197,30.8
1198,74.0
1199,1.5
1200,32.6
1201,105.6
1202,37.3
1203,211.0
1204,33.0
1205,0.5
1206,62.6
1207,192.5
1208,306.7
1209,123.9
1210,89.2
1212,151.8
1213,27.5
1214,272.8
1215,10.5
1216,536.8
1217,118.7
1225,0.5
1227,40.1
1234,5.5
1235,68.8
1237,67.9
1239,182.5
1240,150.1
1241,220.9
1242,115.5
1245,1.2
1246,18.4
1247,57.2
1252,164.8
1254,213.6
1255,1.0
1256,74.4
1257,46.9
1259,166.1
1260,104.2
1261,185.9
1262,29.0
1264,37.4
1265,0.5
1267,55.8
1268,1.1
1270,26.6
1271,45.6
1273,496.9
1274,33.6
1275,15.4
1276,13.5
1277,16.1
1278,7.7
1279,24.7
1280,5.5
1282,1.5
1285,18.2
1286,41.9
1288,155.2
1289,43.9
1291,85.8
1292,28.2
1293,12.8
1295,6.5
1298,63.4
1300,67.4
1301,22.9
1302,56.0
1303,14.4
1304,20.6
1305,17.1
1306,89.6
1307,80.8
1309,11.6
1311,16.6
1312,21.9
1313,43.4
1314,0.5
1315,96.4
1316,23.7
1317,196.9
1318,2.5
1320,0.5
1322,27.4
1324,45.7
1325,33.2
1327,47.4
1328,1.5
1330,1.0
1331,30.4
1332,197.1
1333,205.8
1334,214.0
1335,35.6
1336,49.7
1337,0.5
1338,66.6
1344,46.3
1346,72.4
1347,125.30000000000001
1348,525.2
1349,47.6
1350,1.5
1352,8.2
1353,79.4
1354,182.0
1355,10.0
1356,10.2
1357,19.7
1358,80.0
1359,14.8
1360,10.5
1361,145.1
1362,17.3
1363,85.2
1364,145.9
1365,225.5
1366,101.2
1367,51.0
1368,129.5
1369,55.7
1370,92.3
1371,11.2
1372,181.5
1373,18.4
1374,19.9
1375,158.9
1376,124.5
1377,13.2
1379,49.9
1380,47.9
1381,74.4
1382,12.8
1383,49.8
1384,29.6
1386,79.5
1387,48.9
1388,83.1
1389,39.4
1391,7.0
1392,18.1
1393,24.9
1394,41.6
1395,149.0
1397,418.9
1398,298.8
1399,2.0
1400,211.1
1404,29.1
1406,14.2
1408,55.3
1409,13.8
1412,64.3
1415,0.5
1416,191.9
1417,193.0
1418,124.8
1419,47.7
1420,1.1
1422,39.0
1423,138.2
1425,213.4
1428,74.8
1432,2.5
1433,44.1
1434,3.7
1435,22.8
1436,339.8
1437,47.1
1438,40.5
1439,12.1
1440,42.8
1441,13.8
1442,236.6
1444,20.4
1445,133.3
1446,99.0
1447,82.9
1448,198.0
1449,62.8
1451,94.8
1453,71.1
1456,54.5
1458,45.3
1460,58.1
1461,242.6
1462,1.7
1465,1.5
1466,58.3
1478,25.0
1482,24.7
1484,13.3
1485,16.1
1486,67.3
1487,4.4
1488,37.8
1490,195.3
1491,196.4
1493,29.2
1494,156.5
1495,195.2
1496,182.4
1497,202.0
1498,178.5
1499,191.9
1500,13.4
1501,10.2
1502,4.8
1503,6.6
1504,58.1
1505,14.8
1506,15.8
