Target,Source
4477979,6
4477979,8
99,10
4477979,10
43,12
170,12
372,12
372,12
17,12
372,12
38,12
2886,12
2886,12
170,12
170,12
51,12
3624,12
3624,12
3741,12
3741,12
3741,12
3741,12
3741,12
3741,12
3741,12
3624,12
3624,12
3741,12
3741,12
3810,12
3741,12
3810,12
3624,12
3624,12
3624,12
3624,12
3624,12
31,12
157,12
38,12
170,12
3624,12
4369,12
62,12
4369,12
62,12
3624,12
3624,12
3624,12
3624,12
3624,12
3624,12
3741,12
3741,12
3741,12
2886,12
2886,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
2886,12
4369,12
188,12
170,12
188,12
4369,12
4369,12
4369,12
3741,12
4369,12
4369,12
188,12
4369,12
4369,12
4369,12
4369,12
4369,12
4132,12
4369,12
4369,12
4369,12
4369,12
4369,12
3741,12
3624,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
4369,12
43,12
43,12
31,12
170,12
170,12
3624,12
4369,12
4369,12
4369,12
3624,12
4369,12
3624,12
3741,12
3624,12
1219,12
517,12
517,12
517,12
517,12
517,12
3624,12
3624,12
3624,12
3624,12
3624,12
517,12
3624,12
3624,12
3624,12
482,12
3624,12
482,12
4369,12
4369,12
3624,12
3624,12
3624,12
3113,12
3624,12
3624,12
3624,12
3624,12
3624,12
3624,12
3624,12
3624,12
3113,12
3624,12
3624,12
3624,12
3113,12
3624,12
3624,12
33,12
3624,12
3624,12
3624,12
3113,12
3624,12
3113,12
4369,12
3113,12
3624,12
3624,12
170,12
3624,12
5500,12
3624,12
3113,12
3113,12
3624,12
3624,12
3624,12
3624,12
3624,12
3624,12
3624,12
3741,12
5851,12
5851,12
6183,12
6183,12
6183,12
6183,12
5851,12
6183,12
3741,12
6103,12
6183,12
6183,12
6183,12
6183,12
6183,12
6183,12
3741,12
6183,12
6103,12
6103,12
6183,12
6183,12
6103,12
6103,12
6103,12
7087,12
7087,12
7087,12
6103,12
6103,12
6103,12
3741,12
6103,12
6103,12
7038,12
62,12
6103,12
94,12
6103,12
6103,12
8359,12
3741,12
8359,12
8359,12
3741,12
8359,12
8359,12
8359,12
8359,12
8359,12
6001,12
9305,12
9305,12
9305,12
9305,12
9305,12
6103,12
9305,12
6103,12
9305,12
9305,12
9305,12
9305,12
9305,12
9305,12
9305,12
9305,12
6103,12
9305,12
9305,12
9305,12
6103,12
6103,12
9305,12
4558,12
6103,12
6103,12
5645,12
10273,12
10273,12
10273,12
10273,12
170,12
10273,12
10273,12
10387,12
10387,12
10387,12
10387,12
10387,12
10387,12
10387,12
10387,12
10387,12
7771,12
6103,12
10387,12
10387,12
3808,12
2028,12
11070,12
10387,12
2886,12
9938,12
9938,12
11070,12
9232,12
14102,12
300,12
300,12
11070,12
11070,12
11070,12
11070,12
11070,12
11070,12
11070,12
6103,12
11070,12
9709,12
6103,12
1123,12
6103,12
10719,12
10719,12
10719,12
10719,12
10719,12
19091,12
5862,12
4369,12
3741,12
8289,12
4369,12
15789,12
29395,12
4369,12
18610,12
18610,12
157,12
21375,12
21375,12
21375,12
6478,12
18610,12
30884,12
30884,12
18610,12
26270,12
18610,12
18610,12
18610,12
18610,12
21375,12
12980,12
6103,12
28264,12
6103,12
6103,12
28264,12
29048,12
29048,12
32348,12
28264,12
33208,12
6103,12
6103,12
6103,12
6103,12
6103,12
33417,12
4369,12
4369,12
4369,12
4369,12
6103,12
3741,12
3741,12
6103,12
10333,12
10333,12
3741,12
6103,12
6103,12
3741,12
3741,12
3741,12
3741,12
6103,12
3741,12
3741,12
6103,12
6103,12
3741,12
6103,12
6103,12
6103,12
